"loanamount","Population","loantype"
266,484,"Conventional"
204,740,"FHA"
19,967,"Conventional"
110,406,"Conventional"
161,122,"Conventional"
280,953,"FHA"
348,404,"FHA"
579,250,"Conventional"
574,781,"VA"
295,811,"FHA"
295,353,"Conventional"
285,556,"Conventional"
218,692,"FHA"
235,471,"FHA"
133,824,"Conventional"
463,702,"FHA"
196,886,"Conventional"
470,657,"VA"
466,163,"Conventional"
161,680,"Conventional"
457,827,"FHA"
173,803,"Conventional"
50,152,"Conventional"
188,213,"Conventional"
315,529,"Conventional"
266,780,"Conventional"
171,135,"FHA"
285,710,"Conventional"
155,70,"Conventional"
411,951,"VA"
611,885,"Conventional"
632,238,"VA"
298,964,"Conventional"
496,704,"Conventional"
300,779,"Conventional"
1163,563,"Conventional"
649,609,"Conventional"
887,928,"Conventional"
359,829,"Conventional"
216,877,"Conventional"
484,798,"Conventional"
258,373,"Conventional"
713,131,"Conventional"
360,776,"Conventional"
365,854,"Conventional"
280,237,"FHA"
150,478,"Conventional"
334,94,"Conventional"
471,704,"Conventional"
500,494,"Conventional"
399,602,"Conventional"
407,827,"Conventional"
182,486,"FHA"
283,835,"FHA"
347,889,"Conventional"
117,868,"Conventional"
342,801,"Conventional"
213,625,"Conventional"
585,48,"VA"
320,704,"Conventional"
369,366,"Conventional"
306,854,"FHA"
234,70,"Conventional"
593,742,"FHA"
192,657,"Conventional"
90,777,"Conventional"
239,943,"FHA"
236,399,"Conventional"
254,350,"Conventional"
317,692,"FHA"
90,461,"FHA"
396,219,"Conventional"
515,395,"VA"
232,429,"Conventional"
487,315,"VA"
232,899,"Conventional"
78,76,"Conventional"
510,185,"Conventional"
265,842,"Conventional"
254,348,"Conventional"
525,373,"Conventional"
20,882,"Conventional"
33,438,"Conventional"
190,746,"Conventional"
679,804,"Conventional"
150,623,"Conventional"
503,400,"FHA"
381,751,"FHA"
120,802,"Conventional"
135,769,"Conventional"
211,440,"FHA"
281,632,"FHA"
315,482,"Conventional"
306,521,"VA"
210,441,"Conventional"
132,274,"Conventional"
216,387,"Conventional"
346,873,"Conventional"
241,942,"Conventional"
3,439,"Conventional"
260,633,"Conventional"
375,966,"VA"
289,589,"FHA"
390,386,"Conventional"
268,265,"VA"
321,889,"VA"
8,576,"Conventional"
70,877,"Conventional"
11,947,"Conventional"
633,79,"Conventional"
560,494,"Conventional"
102,753,"Conventional"
325,914,"VA"
150,324,"Conventional"
398,866,"Conventional"
327,708,"FHA"
273,250,"Conventional"
168,802,"FHA"
450,590,"VA"
440,965,"Conventional"
113,814,"Conventional"
7,450,"Conventional"
215,925,"Conventional"
275,381,"Conventional"
771,469,"VA"
83,390,"VA"
646,825,"VA"
385,455,"Conventional"
214,649,"Conventional"
608,227,"Conventional"
572,762,"VA"
372,505,"Conventional"
491,251,"Conventional"
327,927,"VA"
502,686,"Conventional"
460,924,"Conventional"
481,946,"VA"
270,521,"FHA"
196,572,"FHA"
345,327,"Conventional"
338,871,"FHA"
220,635,"Conventional"
104,887,"Conventional"
292,733,"Conventional"
611,340,"VA"
307,413,"FHA"
10,280,"Conventional"
319,471,"FHA"
366,769,"FHA"
356,909,"Conventional"
234,935,"FHA"
398,458,"Conventional"
155,318,"Conventional"
409,893,"Conventional"
3,707,"Conventional"
303,704,"Conventional"
206,963,"Conventional"
100,846,"Conventional"
220,355,"Conventional"
399,401,"Conventional"
665,754,"Conventional"
